epoch,loss_training,loss_test
0,0.6224009,41.16042
100,0.08388623,4.6686
200,0.06762612,4.003031
300,0.060150858,3.6692371
400,0.05574343,3.457975
500,0.05220069,3.236582
600,0.049043383,3.0479255
700,0.045501277,2.8060122
800,0.043339502,2.634549
900,0.04186259,2.5263486
1000,0.040957853,2.4628515
1100,0.03750621,2.1847074
1200,0.032837152,1.9810172
1300,0.030142946,1.8204578
1400,0.028090019,1.676602
1500,0.026809381,1.5968626
1600,0.0258795,1.5285574
1700,0.025205059,1.4826459
1800,0.024610668,1.445258
1900,0.024211483,1.4174753
2000,0.023847416,1.3910233
2100,0.023539847,1.3681129
2200,0.023231907,1.345664
2300,0.023025008,1.3278772
2400,0.022800254,1.3235316
2500,0.022560956,1.3045299
2600,0.022429273,1.2975543
2700,0.022322802,1.2875609
2800,0.022104884,1.2789115
2900,0.021980282,1.2681471
3000,0.02182872,1.2595673
3100,0.021699201,1.2539189
3200,0.021625567,1.2497644
3300,0.021446213,1.2456357
3400,0.021334756,1.2382536
3500,0.021179374,1.2232238
3600,0.021097306,1.2175663
3700,0.020937283,1.2066016
3800,0.02085921,1.2056803
3900,0.020733347,1.2103069
4100,0.020658895,1.2016951
4200,0.020616936,1.200049
4300,0.020553045,1.1942563
4400,0.020526683,1.188268
4500,0.02046285,1.18367999
4600,0.020396326,1.189091
4700,0.020348946,1.1809489
4800,0.020413417,1.1691117
4900,0.020233335,1.1729017
5000,0.020187203,1.1731057
5100,0.020191222,1.167862
5200,0.020138934,1.1627592
5300,0.020188289,1.159174
5400,0.020121068,1.1566348
5500,0.020090574,1.1509871
5600,0.020127127,1.1580414
5700,0.020125298,1.1482772
5800,0.020228552,1.1435493
5900,0.020158637,1.1378453
6000,0.020231841,1.1349993
6100,0.020236325,1.1328219
6200,0.020147521,1.1341902
6300,0.020158084,1.1265143
6400,0.020157222,1.1244324
6500,0.020062333,1.1151081
6600,0.019977164,1.1263076
6700,0.019985894,1.108816
6800,0.019898022,1.1059667
6900,0.019968214,1.104776
7100,0.01971675,1.1028908
7200,0.019742316,1.1014267
7300,0.0196534,1.1005944
7400,0.019612186,1.0956898
7500,0.019503256,1.1046228
7600,0.019465258,1.0944953
7700,0.01939051,1.1005285
7800,0.01937715,1.0898013
7900,0.019414349,1.1009439
8000,0.019327965,1.0940509
8100,0.019190012,1.092588
8200,0.019270686,1.086343
8300,0.019215705,1.0863423
8400,0.019103697,1.0942456
8500,0.019055396,1.079238
8600,0.019031128,1.0841823
8700,0.019023685,1.0815928
8800,0.019000359,1.0814182
8900,0.018951612,1.0803809
