epoch,loss_training,loss_test
0,0.04747022,0.10094178
100,0.011629217,0.01137962
200,0.008879506,0.009915188
300,0.007299169,0.009547966
400,0.006271896,0.009427411
500,0.005162078,0.0093329
600,0.004694417,0.009051257
700,0.004335015,0.00852973
800,0.004093434,0.008169848
900,0.003904666,0.007869829
1000,0.003859293,0.009669608
1100,0.003677193,0.007324931
1200,0.003568454,0.007103387
1300,0.00344114,0.006953932
1400,0.003312026,0.006762205
1500,0.003201045,0.006425179
1600,0.003106072,0.006303655
1700,0.003014822,0.006081175
1800,0.002933794,0.005865302
1900,0.002868175,0.005740505
2000,0.002792016,0.005673851
2100,0.002735263,0.005388331
2200,0.002683721,0.005376102
2300,0.00264174,0.005322489
2400,0.002605397,0.005157842
2500,0.00257109,0.005238882
2600,0.002537767,0.005185
2700,0.002511961,0.004986715
2800,0.002492921,0.005020126
2900,0.0024745,0.004999597
3000,0.002453378,0.004996473
3100,0.002431183,0.005001265
3200,0.00241192,0.004845249
3300,0.002389931,0.004867905
3400,0.002370183,0.004720781
3500,0.002350881,0.004690289
3600,0.002333152,0.004664837
3700,0.002319457,0.004659628
3800,0.002303451,0.004630939
3900,0.002290603,0.004535422
4000,0.002615369,0.004396224
4100,0.002506325,0.004945752
4200,0.002490267,0.005067243
4300,0.002472654,0.004988075
4400,0.002453527,0.004912628
4500,0.002432547,0.004834374
4600,0.002413577,0.004829396
4700,0.002392661,0.00471852
4800,0.002372137,0.004748954
4900,0.002349665,0.004758564
5000,0.002334066,0.004729508
5100,0.002316679,0.004777352
5200,0.002303731,0.004558727
5300,0.002288805,0.004615144
5400,0.002280937,0.004698671
5500,0.002270175,0.004520731
5600,0.002262575,0.004503783
5700,0.002271062,0.004695628
5800,0.002241731,0.004564251
5900,0.002234879,0.004558511
6000,0.002220676,0.004437821
6100,0.002217369,0.004410112
6200,0.002207167,0.004485592
6300,0.00220083,0.004542679
6400,0.002192662,0.004445226
6500,0.002191927,0.004274443
6600,0.002183786,0.004430033
6700,0.00217669,0.004471635
6800,0.002168381,0.004412629
6900,0.002173135,0.004586609
7000,0.002261601,0.003713902
7100,0.002164195,0.004397451
7200,0.002159554,0.004345471
7300,0.002156784,0.004351733
7400,0.002154953,0.004477404
7500,0.002152437,0.004385223
7600,0.002145459,0.004527353
7700,0.002139135,0.004350869
7800,0.002137093,0.004293657
7900,0.002130037,0.004339093
8000,0.002130676,0.004394689
8100,0.002119347,0.004342276
8200,0.002115229,0.004304503
8300,0.002117394,0.004260568
8400,0.002109791,0.004226914
8500,0.00209996,0.004207717
8600,0.002097432,0.004163089
8700,0.002096015,0.004145366
8800,0.002094235,0.004309785
8900,0.002084408,0.004371881
